Div;League;Division;;;;;;;;;;
Date;Match;Date;(dd/mm/yy);;;;;;;;;
SBH;Sportingbet;home;win;odds;;;;;;;;
SBD;Sportingbet;draw;odds;;;;;;;;;
SBA;Sportingbet;away;win;odds;;;;;;;;
SJH;Stan;James;home;win;odds;;;;;;;
SJD;Stan;James;draw;odds;;;;;;;;
SJA;Stan;James;away;win;odds;;;;;;;
SYH;Stanleybet;home;win;odds;;;;;;;;
SYD;Stanleybet;draw;odds;;;;;;;;;
SYA;Stanleybet;away;win;odds;;;;;;;;
VCH;VC;Bet;home;win;odds;;;;;;;
VCD;VC;Bet;draw;odds;;;;;;;;
VCA;VC;Bet;away;win;odds;;;;;;;
WHH;William;Hill;home;win;odds;;;;;;;
WHD;William;Hill;draw;odds;;;;;;;;
WHA;William;Hill;away;win;odds;;;;;;;
Bb1X2;Number;of;BetBrain;bookmakers;used;to;calculate;match;odds;averages;and;maximums
BbMxH;Betbrain;maximum;home;win;odds;;;;;;;
BbAvH;Betbrain;average;home;win;odds;;;;;;;
BbMxD;Betbrain;maximum;draw;odds;;;;;;;;
BbAvD;Betbrain;average;draw;win;odds;;;;;;;
BbMxA;Betbrain;maximum;away;win;odds;;;;;;;
BbAvA;Betbrain;average;away;win;odds;;;;;;;
MaxH;Market;maximum;home;win;odds;;;;;;;
MaxD;Market;maximum;draw;win;odds;;;;;;;
MaxA;Market;maximum;away;win;odds;;;;;;;
AvgH;Market;average;home;win;odds;;;;;;;
AvgD;Market;average;draw;win;odds;;;;;;;
AvgA;Market;average;away;win;odds;;;;;;;
BbAH;Number;of;BetBrain;bookmakers;used;to;Asian;handicap;averages;and;maximums;
BbAHh;Betbrain;size;of;handicap;(home;team);;;;;;
AHh;Market;size;of;handicap;(home;team);(since;2019/2020);;;;
BbMxAHH;Betbrain;maximum;Asian;handicap;home;team;odds;;;;;
BbAvAHH;Betbrain;average;Asian;handicap;home;team;odds;;;;;
BbMxAHA;Betbrain;maximum;Asian;handicap;away;team;odds;;;;;
BbAvAHA;Betbrain;average;Asian;handicap;away;team;odds;;;;;
GBAHH;Gamebookers;Asian;handicap;home;team;odds;;;;;;
GBAHA;Gamebookers;Asian;handicap;away;team;odds;;;;;;
GBAH;Gamebookers;size;of;handicap;(home;team);;;;;;
LBAHH;Ladbrokes;Asian;handicap;home;team;odds;;;;;;
LBAHA;Ladbrokes;Asian;handicap;away;team;odds;;;;;;
LBAH;Ladbrokes;size;of;handicap;(home;team);;;;;;
B365AHH;Bet365;Asian;handicap;home;team;odds;;;;;;
B365AHA;Bet365;Asian;handicap;away;team;odds;;;;;;
B365AH;Bet365;size;of;handicap;(home;team);;;;;;
PAHH;Pinnacle;Asian;handicap;home;team;odds;;;;;;
PAHA;Pinnacle;Asian;handicap;away;team;odds;;;;;;
MaxAHH;Market;maximum;Asian;handicap;home;team;odds;;;;;
MaxAHA;Market;maximum;Asian;handicap;away;team;odds;;;;;
AvgAHH;Market;average;Asian;handicap;home;team;odds;;;;;
AvgAHA;Market;average;Asian;handicap;away;team;odds;;;;;
